Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6562381;11949976;11809100;1;KU;21;M;;0;ei henkilövahinkoa;;;
6523121;11949984;11809109;1;KU;54;N;;0;ei henkilövahinkoa;;;
6523121;11949985;11809110;2;KU;37;M;;0;ei henkilövahinkoa;;;
6535274;11949986;11809111;1;MA;76;M;;0;ei henkilövahinkoa;;;
6535274;11949986;11809112;1;KU;75;N;;0;ei henkilövahinkoa;;;
6631209;11949989;11809115;1;MA;16;N;;0;ei henkilövahinkoa;;;
6631209;11949989;11809116;1;MA;16;N;;0;ei henkilövahinkoa;;;
6631209;11949989;11809117;1;KU;39;N;;0;ei henkilövahinkoa;;;
6631209;11949990;11809118;2;KU;14;N;;L;loukkaantunut;;;
6638651;11949999;11809392;1;KU;58;M;;0;ei henkilövahinkoa;;;
6638651;11950000;11809393;2;KU;51;M;;0;ei henkilövahinkoa;;;
6582371;11950163;11809405;1;KU;61;N;;0;ei henkilövahinkoa;;;
6582371;11950164;11809406;2;KU;;;;0;ei henkilövahinkoa;;;
6701965;11950170;11809414;1;KU;52;M;;0;ei henkilövahinkoa;;;
6701965;11950171;11809415;2;JK;15;M;;L;loukkaantunut;;;
6554076;11950172;11809416;1;KU;29;M;;0;ei henkilövahinkoa;;;
6499944;11950176;11809420;1;MA;27;M;;0;ei henkilövahinkoa;;;
6499944;11950176;11809421;1;MA;21;M;;0;ei henkilövahinkoa;;;
6499944;11950176;11809422;1;MA;22;M;;0;ei henkilövahinkoa;;;
6499944;11950176;11809423;1;KU;;M;;0;ei henkilövahinkoa;;;
6654693;11950177;11809424;1;KU;22;M;;0;ei henkilövahinkoa;;;
6654693;11950178;11809425;2;KU;30;M;;0;ei henkilövahinkoa;;;
6542220;11950180;11809428;1;MA;55;N;;0;ei henkilövahinkoa;;;
6542220;11950180;11809429;1;KU;57;M;;0;ei henkilövahinkoa;;;
6542220;11950181;11809430;2;KU;24;M;;0;ei henkilövahinkoa;;;
6522030;11950182;11809431;1;KU;37;M;;0;ei henkilövahinkoa;;;
6522030;11950183;11809432;2;KU;56;M;;0;ei henkilövahinkoa;;;
6526951;11950191;11809443;1;KU;;M;;0;ei henkilövahinkoa;;;
6526951;11950192;11809639;2;KU;;;;0;ei henkilövahinkoa;;;
6556909;11950193;11809640;1;KU;;M;;0;ei henkilövahinkoa;;;
6556909;11950193;11809641;1;MA;;M;;0;ei henkilövahinkoa;;;
6556909;11950193;11809642;1;MA;;M;;0;ei henkilövahinkoa;;;
6537623;11950194;11809643;1;KU;32;M;;0;ei henkilövahinkoa;;;
6537623;11950195;11809644;2;KU;50;M;;L;loukkaantunut;;;
6554085;11947723;11806253;1;KU;46;M;;0;ei henkilövahinkoa;;;
6489404;11947961;11806557;1;KU;52;M;;0;ei henkilövahinkoa;;;
6797730;11948419;11806874;1;KU;70;N;;0;ei henkilövahinkoa;;;
6774456;11948502;11806925;1;KU;;;;0;ei henkilövahinkoa;;;
6774456;11948502;11806926;1;MA;;;;0;ei henkilövahinkoa;;;
6797732;11948738;11806976;1;KU;25;M;;0;ei henkilövahinkoa;;;
6877865;11948939;11808306;1;KU;54;N;;0;ei henkilövahinkoa;;;
6877749;11948945;11808309;1;KU;;M;;0;ei henkilövahinkoa;;;
6877749;11948945;11808310;1;MA;;N;;0;ei henkilövahinkoa;;;
6906782;11949004;11808352;1;MA;60;N;;0;ei henkilövahinkoa;;;
6906782;11949004;11808353;1;KU;58;M;;0;ei henkilövahinkoa;;;
6802360;11949039;11808381;1;KU;48;M;;0;ei henkilövahinkoa;;;
6725603;11949252;11808413;1;KU;;M;;0;ei henkilövahinkoa;;;
6778776;11949272;11809132;1;KU;62;M;;0;ei henkilövahinkoa;;;
6797719;11949276;11809134;1;KU;56;M;;0;ei henkilövahinkoa;;;
6797719;11949276;11809135;1;MA;;N;;0;ei henkilövahinkoa;;;
6797719;11949276;11809136;1;MA;;N;;0;ei henkilövahinkoa;;;
6753474;11949282;11809141;1;KU;46;N;;0;ei henkilövahinkoa;;;
6676501;11949294;11809147;1;KU;41;M;;0;ei henkilövahinkoa;;;
6725482;11949304;11809155;1;KU;39;M;;0;ei henkilövahinkoa;;;
6765883;11949486;11809173;1;KU;40;M;;0;ei henkilövahinkoa;;;
6765883;11949486;11809174;1;MA;;;;0;ei henkilövahinkoa;;;
6765883;11949486;11809175;1;MA;;;;0;ei henkilövahinkoa;;;
6765883;11949486;11809176;1;MA;;;;0;ei henkilövahinkoa;;;
